Dados de entrada:
Isotopo  Egama    IN  Efic      sEfic     Eres     sEres  Asp_Cd      sAsp_Cd   Asp         sAsp      Rcd    sRcd   k0        sk0   Fcd     sFcd    Gepi      sGepi    Gth      sGth     Q0        sQ0       idouro
Zr95     724.20   2   7.21e-04  4.94e-06  6260.00  4.0    3.8898e+04  3.50e+02  4.3324e+05  1.11e+03  11.90  0.11   8.99e-05  2.20  0.9968  0.0007  0.909019  0.00037  1.00000  0.00000  5.306000  0.175098  2
Zr95     756.70   2   6.93e-04  4.79e-06  6260.00  4.0    4.6671e+04  3.81e+02  5.1904e+05  1.19e+03  10.91  0.09   1.11e-04  2.20  0.9968  0.0007  0.909019  0.00037  1.00000  0.00000  5.306000  0.175098  2
Zn65     1115.50  4   4.70e-04  2.14e-06  2560.00  10.0   5.5814e+05  7.31e+02  1.6423e+07  3.91e+04  31.09  0.08   5.72e-03  0.40  0.9928  0.0019  0.965000  0.00870  0.99238  0.00140  1.908000  0.093590  2
Zn69m	 438.6    3   1.19E-03  6.70E-06  590.00   10.0   1.4485E+05  8.55E+03  2.9691E+06  6.76E+04  19.04  0.08   3.98e-04  0.60  1.0000  0.0050  0.956400  0.00910  0.99930  0.00020  2.563000  0.036000  2
La140    328.70   7   1.61e-03  8.84e-06  76.00    3.9    6.9223e+06  3.11e+04  2.8861e+08  6.45e+05  41.69  0.21   2.87e-02  1.00  1.0160  0.0024  0.998111  0.00038  1.00000  0.00000  1.240000  0.072520  2
La140    487.00   7   1.06e-03  6.08e-06  76.00    3.9    1.0221e+07  3.00e+04  4.2420e+08  7.82e+05  41.50  0.14   6.37e-02  0.90  1.0160  0.0024  0.998111  0.00038  1.00000  0.00000  1.240000  0.072520  2
La140    815.80   7   6.48e-04  4.44e-06  76.00    3.9    3.2091e+06  1.97e+04  1.3537e+08  3.70e+05  41.25  0.28   3.32e-02  0.60  1.0160  0.0024  0.998111  0.00038  1.00000  0.00000  1.240000  0.072520  2
La140    1596.20  7   3.34e-04  3.95e-06  76.00    3.9    6.9135e+06  2.44e+04  2.7858e+08  5.57e+05  41.45  0.17   1.34e-01  1.10  1.0160  0.0024  0.998111  0.00038  1.00000  0.00000  1.240000  0.072520  2
Co60     1173.20  8   4.67e-04  1.92e-06  136.00   5.1    1.5451e+08  1.55e+06  3.9573e+09  3.87e+07  27.32  0.40   1.32e+00  0.40  0.9909  0.0020  0.997058  0.00060  1.00000  0.00000  1.990000  0.057710  2
Co60     1332.50  8   4.11e-04  2.28e-06  136.00   5.1    1.4756e+08  1.36e+06  3.4342e+09  3.45e+07  26.69  0.39   1.32e+00  0.50  0.9909  0.0020  0.997058  0.00060  1.00000  0.00000  1.990000  0.057710  2
Sc-46    889.3    5   6.01E-04  3.90E-06  5130.00  5.0    4.5152E+07  2.24E+05  4.3976E+09  1.46E+07  99.01  0.59   1.22e-00  0.40  1.0260  0.0050  0.985800  0.00290  0.97922  0.00430  0.445000  0.022000  2
Sc-46    1120.5   5   4.90E-04  2.12E-06  5130.00  5.0    3.6820E+07  1.82E+05  3.6018E+09  1.18E+07  97.80  0.58   1.22e-00  1.10  1.0260  0.0050  0.985800  0.00290  0.97922  0.00430  0.445000  0.022000  2
